"country","years","prot_ha_yr","scenario"
"Bangladesh",47,0,"P2"
"Barbados",47,0.978823795703203,"P2"
"Belize",47,1287.11527168029,"P2"
"Benin",47,10.9701516860269,"P2"
"Bonaire",47,0,"P2"
"Brazil",47,0,"P2"
"British Virgin Islands",47,6.33297365595994,"P2"
"Brunei",47,0,"P2"
"Cambodia",47,0,"P2"
"Cameroon",47,0,"P2"
"Cayman Islands",47,164.692241892497,"P2"
"China",47,966.735147674061,"P2"
"Colombia",47,0,"P2"
"Comoros",47,0,"P2"
"Costa Rica",47,32.6503050975775,"P2"
"Cuba",47,0,"P2"
"Curaco",47,0.428192472146035,"P2"
"Democratic Republic of the Congo",47,0,"P2"
"Djibouti",47,35.3356627410415,"P2"
"Dominica",47,0,"P2"
"Dominican Republic",47,0,"P2"
"East Timor",47,0,"P2"
"Ecuador",47,0,"P2"
"Egypt",47,0.209006375849957,"P2"
"El Salvador",47,0,"P2"
"Equatorial Guinea",47,0,"P2"
"Eritrea",47,502.40827292078,"P2"
"Fiji",47,1236.63393837833,"P2"
"French Guiana",47,0,"P2"
"Gabon",47,0,"P2"
"Gambia",47,2657.50742878407,"P2"
"Ghana",47,11.8486726933172,"P2"
"Grenada",47,4.8239085899765,"P2"
"Guadeloupe",47,0,"P2"
"Guatemala",47,122.250304793088,"P2"
"Guinea",47,7752.21840282492,"P2"
"Guinea-Bissau",47,4338.01392921747,"P2"
"Guyana",47,0,"P2"
"Haiti",47,87.5308638809379,"P2"
"Honduras",47,0,"P2"
"India",47,3984.29007077269,"P2"
"Indonesia",47,96901.9045829556,"P2"
"Iran",47,0,"P2"
"Ivory Coast",47,353.310665063718,"P2"
"Jamaica",47,0,"P2"
"Japan",47,0,"P2"
"Kenya",47,2675.28266760423,"P2"
"Liberia",47,526.45569144411,"P2"
"Madagascar",47,13756.2745190423,"P2"
"Malaysia",47,20741.6718205009,"P2"
"Martinique",47,0,"P2"
"Mauritius",47,41.485396591177,"P2"
"Mayotte",47,0,"P2"
"Mexico",47,0,"P2"
"Micronesia",47,598.709147377393,"P2"
"Mozambique",47,0,"P2"
"Myanmar",47,33185.5820918555,"P2"
"New Caledonia",47,797.97598532216,"P2"
"New Zealand",47,1805.87248070149,"P2"
"Nicaragua",47,0,"P2"
"Nigeria",47,44111.3835468852,"P2"
"Oman",47,2.52478131953837,"P2"
"Pakistan",47,1289.91448396442,"P2"
"Palau",47,0,"P2"
"Panama",47,6906.5361807355,"P2"
"Papua New Guinea",47,31279.5158553634,"P2"
"Phillippines",47,11813.15666805,"P2"
"Puerto Rico",47,0,"P2"
"Qatar",47,31.6678777342535,"P2"
"Saint-Martin",47,0,"P2"
"Saint Kitts and Nevis",47,2.04597838685203,"P2"
"Saint Lucia",47,0,"P2"
"Saint Vincent",47,0,"P2"
"Samoa",47,13.2828648495259,"P2"
"Sao Tome and Principe",47,0.0479248332351221,"P2"
"Saudi Arabia",47,349.886317276732,"P2"
"Senegal",47,0,"P2"
"Seychelles",47,2.26614763788302,"P2"
"Sierra Leone",47,6062.29189851829,"P2"
"Singapore",47,30.5442436586518,"P2"
"Solomon Islands",47,3004.26609212737,"P2"
"Somalia",47,152.800369380439,"P2"
"South Africa",47,55.1199282419437,"P2"
"Sri Lanka",47,1292.23287793429,"P2"
"Sudan",47,19.0798064466793,"P2"
"Suriname",47,0,"P2"
"Taiwan",47,0,"P2"
"Tanzania",47,0,"P2"
"Thailand",47,12732.5399895633,"P2"
"Tonga",47,35.0628012152116,"P2"
"Trinidad and Tobago",47,0,"P2"
"Turks and Caicos Islands",47,0,"P2"
"United Arab Emirates",47,361.515647027079,"P2"
"United States",47,0,"P2"
"Vanuatu",47,126.587659147786,"P2"
"Venezuela",47,0,"P2"
"Vietnam",47,8252.50433745497,"P2"
"Virgin Islands",47,2.24857245197851,"P2"
"Yemen",47,90.2227106410747,"P2"
"American Samoa",47,0,"R"
"Angola",47,0,"R"
"Anguilla",47,0,"R"
"Antigua and Barbuda",47,0,"R"
"Aruba",47,0,"R"
"Australia",47,0,"R"
"Bahamas",47,0,"R"
"Bahrain",47,0,"R"
"Bangladesh",47,0,"R"
"Barbados",47,0,"R"
"Belize",47,0,"R"
"Benin",47,0,"R"
"Bonaire",47,0,"R"
"Brazil",47,0,"R"
"British Virgin Islands",47,0,"R"
"Brunei",47,0,"R"
"Cambodia",47,0,"R"
"Cameroon",47,0,"R"
"Cayman Islands",47,0,"R"
"China",47,0,"R"
"Colombia",47,0,"R"
"Comoros",47,0,"R"
"Costa Rica",47,0,"R"
"Cuba",47,0,"R"
"Curaco",47,0,"R"
"Democratic Republic of the Congo",47,0,"R"
"Djibouti",47,0,"R"
"Dominica",47,0,"R"
"Dominican Republic",47,0,"R"
"East Timor",47,0,"R"
"Ecuador",47,0,"R"
"Egypt",47,0,"R"
"El Salvador",47,0,"R"
"Equatorial Guinea",47,0,"R"
"Eritrea",47,0,"R"
"Fiji",47,0,"R"
"French Guiana",47,0,"R"
"Gabon",47,0,"R"
"Gambia",47,0,"R"
"Ghana",47,0,"R"
"Grenada",47,0,"R"
"Guadeloupe",47,0,"R"
"Guatemala",47,0,"R"
"Guinea",47,0,"R"
"Guinea-Bissau",47,0,"R"
"Guyana",47,0,"R"
"Haiti",47,0,"R"
"Honduras",47,0,"R"
"India",47,0,"R"
"Indonesia",47,0,"R"
"Iran",47,0,"R"
"Ivory Coast",47,0,"R"
"Jamaica",47,0,"R"
"Japan",47,0,"R"
"Kenya",47,0,"R"
"Liberia",47,0,"R"
"Madagascar",47,0,"R"
"Malaysia",47,0,"R"
"Martinique",47,0,"R"
"Mauritius",47,0,"R"
"Mayotte",47,0,"R"
"Mexico",47,0,"R"
"Micronesia",47,0,"R"
"Mozambique",47,0,"R"
"Myanmar",47,0,"R"
"New Caledonia",47,0,"R"
"New Zealand",47,0,"R"
"Nicaragua",47,0,"R"
"Nigeria",47,0,"R"
"Oman",47,0,"R"
"Pakistan",47,0,"R"
"Palau",47,0,"R"
"Panama",47,0,"R"
"Papua New Guinea",47,0,"R"
"Phillippines",47,0,"R"
"Puerto Rico",47,0,"R"
"Qatar",47,0,"R"
"Saint-Martin",47,0,"R"
"Saint Kitts and Nevis",47,0,"R"
"Saint Lucia",47,0,"R"
"Saint Vincent",47,0,"R"
"Samoa",47,0,"R"
"Sao Tome and Principe",47,0,"R"
"Saudi Arabia",47,0,"R"
"Senegal",47,0,"R"
"Seychelles",47,0,"R"
"Sierra Leone",47,0,"R"
"Singapore",47,0,"R"
"Solomon Islands",47,0,"R"
"Somalia",47,0,"R"
"South Africa",47,0,"R"
"Sri Lanka",47,0,"R"
"Sudan",47,0,"R"
"Suriname",47,0,"R"
"Taiwan",47,0,"R"
"Tanzania",47,0,"R"
"Thailand",47,0,"R"
"Tonga",47,0,"R"
"Trinidad and Tobago",47,0,"R"
"Turks and Caicos Islands",47,0,"R"
"United Arab Emirates",47,0,"R"
"United States",47,0,"R"
"Vanuatu",47,0,"R"
"Venezuela",47,0,"R"
"Vietnam",47,0,"R"
"Virgin Islands",47,0,"R"
"Yemen",47,0,"R"
"American Samoa",47,0.807315042761495,"PR"
"Angola",47,1589.66313351814,"PR"
"Anguilla",47,0.0372169041304978,"PR"
"Antigua and Barbuda",47,0,"PR"
"Aruba",47,1.35302224503736,"PR"
"Australia",47,0,"PR"
"Bahamas",47,0,"PR"
"Bahrain",47,0,"PR"
"Bangladesh",47,0,"PR"
"Barbados",47,0.587294277421922,"PR"
"Belize",47,0,"PR"
"Benin",47,6.58209101161617,"PR"
"Bonaire",47,0,"PR"
"Brazil",47,0,"PR"
"British Virgin Islands",47,3.79978419357596,"PR"
"Brunei",47,0,"PR"
"Cambodia",47,0,"PR"
"Cameroon",47,0,"PR"
"Cayman Islands",47,45.7361408776954,"PR"
"China",47,513.694128739512,"PR"
"Colombia",47,0,"PR"
"Comoros",47,0,"PR"
"Costa Rica",47,0,"PR"
"Cuba",47,0,"PR"
"Curaco",47,0,"PR"
"Democratic Republic of the Congo",47,0,"PR"
"Djibouti",47,21.2013976446249,"PR"
"Dominica",47,0,"PR"
"Dominican Republic",47,0,"PR"
"East Timor",47,0,"PR"
"Ecuador",47,0,"PR"
"Egypt",47,0,"PR"
"El Salvador",47,0,"PR"
"Equatorial Guinea",47,0,"PR"
"Eritrea",47,301.444963752468,"PR"
"Fiji",47,0,"PR"
"French Guiana",47,0,"PR"
"Gabon",47,0,"PR"
"Gambia",47,935.76207616319,"PR"
"Ghana",47,0,"PR"
"Grenada",47,0,"PR"
"Guadeloupe",47,0,"PR"
"Guatemala",47,0,"PR"
"Guinea",47,1443.38351003617,"PR"
"Guinea-Bissau",47,0,"PR"
"Guyana",47,0,"PR"
"Haiti",47,0,"PR"
"Honduras",47,0,"PR"
"India",47,0,"PR"
"Indonesia",47,20895.3543318093,"PR"
"Iran",47,0,"PR"
"Ivory Coast",47,186.895451087039,"PR"
"Jamaica",47,0,"PR"
"Japan",47,0,"PR"
"Kenya",47,1151.41576515823,"PR"
"Liberia",47,0,"PR"
"Madagascar",47,6408.68920650958,"PR"
"Malaysia",47,6155.21492538992,"PR"
"Martinique",47,0,"PR"
"Mauritius",47,21.1985621920838,"PR"
"Mayotte",47,0,"PR"
"Mexico",47,0,"PR"
"Micronesia",47,359.225488426436,"PR"
"Mozambique",47,0,"PR"
"Myanmar",47,19045.2883487399,"PR"
"New Caledonia",47,0,"PR"
"New Zealand",47,916.324099540632,"PR"
"Nicaragua",47,0,"PR"
"Nigeria",47,24337.5459654483,"PR"
"Oman",47,0,"PR"
"Pakistan",47,0,"PR"
"Palau",47,0,"PR"
"Panama",47,2537.71454265424,"PR"
"Papua New Guinea",47,17570.9468034584,"PR"
"Phillippines",47,4119.3297557173,"PR"
"Puerto Rico",47,0,"PR"
"Qatar",47,19.0007266405521,"PR"
"Saint-Martin",47,0,"PR"
"Saint Kitts and Nevis",47,1.22091385911628,"PR"
"Saint Lucia",47,0,"PR"
"Saint Vincent",47,0,"PR"
"Samoa",47,4.55232843340481,"PR"
"Sao Tome and Principe",47,0.0287548999410733,"PR"
"Saudi Arabia",47,166.807929396171,"PR"
"Senegal",47,0,"PR"
"Seychelles",47,0,"PR"
"Sierra Leone",47,2429.35605113943,"PR"
"Singapore",47,15.6222508029876,"PR"
"Solomon Islands",47,1486.85821533547,"PR"
"Somalia",47,91.6802216282636,"PR"
"South Africa",47,0,"PR"
"Sri Lanka",47,720.929864416808,"PR"
"Sudan",47,6.08799110219092,"PR"
"Suriname",47,0,"PR"
"Taiwan",47,0,"PR"
"Tanzania",47,0,"PR"
"Thailand",47,6270.39042636778,"PR"
"Tonga",47,10.2328023461776,"PR"
"Trinidad and Tobago",47,0,"PR"
"Turks and Caicos Islands",47,0,"PR"
"United Arab Emirates",47,152.986931569976,"PR"
"United States",47,0,"PR"
"Vanuatu",47,75.9525954886714,"PR"
"Venezuela",47,0,"PR"
"Vietnam",47,3747.31038872736,"PR"
"Virgin Islands",47,0,"PR"
"Yemen",47,40.2412623114953,"PR"
"American Samoa",47,0,"R2"
"Angola",47,0,"R2"
"Anguilla",47,0,"R2"
"Antigua and Barbuda",47,0,"R2"
"Aruba",47,0,"R2"
"Australia",47,0,"R2"
"Bahamas",47,0,"R2"
"Bahrain",47,0,"R2"
"Bangladesh",47,0,"R2"
"Barbados",47,0,"R2"
"Belize",47,0,"R2"
"Benin",47,0,"R2"
"Bonaire",47,0,"R2"
"Brazil",47,0,"R2"
"British Virgin Islands",47,0,"R2"
"Brunei",47,0,"R2"
"Cambodia",47,0,"R2"
"Cameroon",47,0,"R2"
"Cayman Islands",47,0,"R2"
"China",47,0,"R2"
"Colombia",47,0,"R2"
"Comoros",47,0,"R2"
"Costa Rica",47,0,"R2"
"Cuba",47,0,"R2"
"Curaco",47,0,"R2"
"Democratic Republic of the Congo",47,0,"R2"
"Djibouti",47,0,"R2"
"Dominica",47,0,"R2"
"Dominican Republic",47,0,"R2"
"East Timor",47,0,"R2"
"Ecuador",47,0,"R2"
"Egypt",47,0,"R2"
"El Salvador",47,0,"R2"
"Equatorial Guinea",47,0,"R2"
"Eritrea",47,0,"R2"
"Fiji",47,0,"R2"
"French Guiana",47,0,"R2"
"Gabon",47,0,"R2"
"Gambia",47,0,"R2"
"Ghana",47,0,"R2"
"Grenada",47,0,"R2"
"Guadeloupe",47,0,"R2"
"Guatemala",47,0,"R2"
"Guinea",47,0,"R2"
"Guinea-Bissau",47,0,"R2"
"Guyana",47,0,"R2"
"Haiti",47,0,"R2"
"Honduras",47,0,"R2"
"India",47,0,"R2"
"Indonesia",47,0,"R2"
"Iran",47,0,"R2"
"Ivory Coast",47,0,"R2"
"Jamaica",47,0,"R2"
"Japan",47,0,"R2"
"Kenya",47,0,"R2"
"Liberia",47,0,"R2"
"Madagascar",47,0,"R2"
"Malaysia",47,0,"R2"
"Martinique",47,0,"R2"
"Mauritius",47,0,"R2"
"Mayotte",47,0,"R2"
"Mexico",47,0,"R2"
"Micronesia",47,0,"R2"
"Mozambique",47,0,"R2"
"Myanmar",47,0,"R2"
"New Caledonia",47,0,"R2"
"New Zealand",47,0,"R2"
"Nicaragua",47,0,"R2"
"Nigeria",47,0,"R2"
"Oman",47,0,"R2"
"Pakistan",47,0,"R2"
"Palau",47,0,"R2"
"Panama",47,0,"R2"
"Papua New Guinea",47,0,"R2"
"Phillippines",47,0,"R2"
"Puerto Rico",47,0,"R2"
"Qatar",47,0,"R2"
"Saint-Martin",47,0,"R2"
"Saint Kitts and Nevis",47,0,"R2"
"Saint Lucia",47,0,"R2"
"Saint Vincent",47,0,"R2"
"Samoa",47,0,"R2"
"Sao Tome and Principe",47,0,"R2"
"Saudi Arabia",47,0,"R2"
"Senegal",47,0,"R2"
"Seychelles",47,0,"R2"
"Sierra Leone",47,0,"R2"
"Singapore",47,0,"R2"
"Solomon Islands",47,0,"R2"
"Somalia",47,0,"R2"
"South Africa",47,0,"R2"
"Sri Lanka",47,0,"R2"
"Sudan",47,0,"R2"
"Suriname",47,0,"R2"
"Taiwan",47,0,"R2"
"Tanzania",47,0,"R2"
"Thailand",47,0,"R2"
"Tonga",47,0,"R2"
"Trinidad and Tobago",47,0,"R2"
"Turks and Caicos Islands",47,0,"R2"
"United Arab Emirates",47,0,"R2"
"United States",47,0,"R2"
"Vanuatu",47,0,"R2"
"Venezuela",47,0,"R2"
"Vietnam",47,0,"R2"
"Virgin Islands",47,0,"R2"
"Yemen",47,0,"R2"
"American Samoa",47,1.34552507126916,"PR2"
"Angola",47,2665.63879955922,"PR2"
"Anguilla",47,0.0620281735508297,"PR2"
"Antigua and Barbuda",47,5.97029205728272,"PR2"
"Aruba",47,2.32060923905543,"PR2"
"Australia",47,47.7620183464352,"PR2"
"Bahamas",47,0,"PR2"
"Bahrain",47,0.703009719426803,"PR2"
"Bangladesh",47,0,"PR2"
"Barbados",47,0.978823795703203,"PR2"
"Belize",47,1287.11527168029,"PR2"
"Benin",47,10.9701516860269,"PR2"
"Bonaire",47,0,"PR2"
"Brazil",47,0,"PR2"
"British Virgin Islands",47,6.33297365595994,"PR2"
"Brunei",47,0,"PR2"
"Cambodia",47,0,"PR2"
"Cameroon",47,0,"PR2"
"Cayman Islands",47,164.692241892497,"PR2"
"China",47,966.735147674061,"PR2"
"Colombia",47,0,"PR2"
"Comoros",47,0,"PR2"
"Costa Rica",47,32.6503050975775,"PR2"
"Cuba",47,0,"PR2"
"Curaco",47,0.428192472146035,"PR2"
"Democratic Republic of the Congo",47,0,"PR2"
"Djibouti",47,35.3356627410415,"PR2"
"Dominica",47,0,"PR2"
"Dominican Republic",47,0,"PR2"
"East Timor",47,0,"PR2"
"Ecuador",47,0,"PR2"
"Egypt",47,0.209006375849957,"PR2"
"El Salvador",47,0,"PR2"
"Equatorial Guinea",47,0,"PR2"
"Eritrea",47,502.40827292078,"PR2"
"Fiji",47,1236.63393837833,"PR2"
"French Guiana",47,0,"PR2"
"Gabon",47,0,"PR2"
"Gambia",47,2657.50742878407,"PR2"
"Ghana",47,11.8486726933172,"PR2"
"Grenada",47,4.8239085899765,"PR2"
"Guadeloupe",47,0,"PR2"
"Guatemala",47,122.250304793088,"PR2"
"Guinea",47,7752.21840282492,"PR2"
"Guinea-Bissau",47,4338.01392921747,"PR2"
"Guyana",47,0,"PR2"
"Haiti",47,87.5308638809379,"PR2"
"Honduras",47,0,"PR2"
"India",47,3984.29007077269,"PR2"
"Indonesia",47,96901.9045829556,"PR2"
"Iran",47,0,"PR2"
"Ivory Coast",47,353.310665063718,"PR2"
"Jamaica",47,0,"PR2"
"Japan",47,0,"PR2"
"Kenya",47,2675.28266760423,"PR2"
"Liberia",47,526.45569144411,"PR2"
"Madagascar",47,13756.2745190423,"PR2"
"Malaysia",47,20741.6718205009,"PR2"
"Martinique",47,0,"PR2"
"Mauritius",47,41.485396591177,"PR2"
"Mayotte",47,0,"PR2"
"Mexico",47,0,"PR2"
"Micronesia",47,598.709147377393,"PR2"
"Mozambique",47,0,"PR2"
"Myanmar",47,33185.5820918555,"PR2"
"New Caledonia",47,797.97598532216,"PR2"
"New Zealand",47,1805.87248070149,"PR2"
"Nicaragua",47,0,"PR2"
"Nigeria",47,44111.3835468852,"PR2"
"Oman",47,2.52478131953837,"PR2"
"Pakistan",47,1289.91448396442,"PR2"
"Palau",47,0,"PR2"
"Panama",47,6906.5361807355,"PR2"
"Papua New Guinea",47,31279.5158553634,"PR2"
"Phillippines",47,11813.15666805,"PR2"
"Puerto Rico",47,0,"PR2"
"Qatar",47,31.6678777342535,"PR2"
"Saint-Martin",47,0,"PR2"
"Saint Kitts and Nevis",47,2.04597838685203,"PR2"
"Saint Lucia",47,0,"PR2"
"Saint Vincent",47,0,"PR2"
"Samoa",47,13.2828648495259,"PR2"
"Sao Tome and Principe",47,0.0479248332351221,"PR2"
"Saudi Arabia",47,349.886317276732,"PR2"
"Senegal",47,0,"PR2"
"Seychelles",47,2.26614763788302,"PR2"
"Sierra Leone",47,6062.29189851829,"PR2"
"Singapore",47,30.5442436586518,"PR2"
"Solomon Islands",47,3004.26609212737,"PR2"
"Somalia",47,152.800369380439,"PR2"
"South Africa",47,55.1199282419437,"PR2"
"Sri Lanka",47,1292.23287793429,"PR2"
"Sudan",47,19.0798064466793,"PR2"
"Suriname",47,0,"PR2"
"Taiwan",47,0,"PR2"
"Tanzania",47,0,"PR2"
"Thailand",47,12732.5399895633,"PR2"
"Tonga",47,35.0628012152116,"PR2"
"Trinidad and Tobago",47,0,"PR2"
"Turks and Caicos Islands",47,0,"PR2"
"United Arab Emirates",47,361.515647027079,"PR2"
"United States",47,0,"PR2"
"Vanuatu",47,126.587659147786,"PR2"
"Venezuela",47,0,"PR2"
"Vietnam",47,8252.50433745497,"PR2"
"Virgin Islands",47,2.24857245197851,"PR2"
"Yemen",47,90.2227106410747,"PR2"
