"scenario","area_2023_ha","area_2030_ha","area_2050_ha","area_2070_ha","extent_change_ha_2023_2030","extent_change_ha_2023_2050","extent_change_ha_2023_2070","area_historical_ha","perc_change_2023_2030","perc_change_2023_2050","perc_historical_2030","perc_historical_2050","perc_historical_2070"
"BAU",643353.461904628,642611.65265419,640303.980768562,637854.880316352,-741.809250437538,-3049.48113606556,-5498.58158827631,1038833.37919787,-0.115303529764406,-0.473997781412051,-0.0714079144251532,-0.293548628406628,-0.529303514729382
"P",643353.461904628,643333.535848087,649433.149120239,652555.055501987,-19.9260565405712,6079.68721561134,9201.59359735902,1038833.37919787,-0.00309721758263034,0.944999533788567,-0.00191811862610316,0.585241804639139,0.885762219583667
"P2",643353.461904628,645223.571369296,657101.701220712,665369.480980216,1870.10946466809,13748.2393160842,22016.0190755883,1038833.37919787,0.290681495539277,2.13696515681799,0.180020155504831,1.32343064743452,2.11930224003661
"PR",643353.461904628,693740.820736365,826463.806721871,798877.05949836,50387.3588317367,183110.344817244,155523.597593732,1038833.37919787,7.83198689606278,28.4618573863193,4.85037926588798,17.6265365056552,14.9709857911785
"PR2",643353.461904628,737798.90035717,1005826.57958975,1004550.36422338,94445.4384525417,362473.117685121,361196.902318755,1038833.37919787,14.6801787889567,56.3412088608384,9.09149054542969,34.8923248851519,34.7694740611486
"R",643353.461904628,691635.260256856,803201.454450103,761764.37445875,48281.7983522284,159847.992545475,118410.912554122,1038833.37919787,7.50470794223934,24.846060837576,4.64769416530581,15.3872599539401,11.3984508897426
"R2",643353.461904628,730854.145231688,929648.832423819,858359.237082965,87500.6833270601,286295.370519191,215005.775178337,1038833.37919787,13.6007169477284,44.5004787370884,8.42297572249976,27.5593156950977,20.6968489349421
