"Country","ISO_TER1","Forest_ha","Protected_forest_ha","Deforested_ha","Protected_deforested_ha","perc_restorable","perc_restorable_TNC","perc_restorable_Gold","Unprotected_forest_ha","Unprotected_deforested_ha","Unprotected_restorable_ha","Protected_restorable_ha","Protected_forest_prop","Protected_deforested_prop","Growth_rate_GMW","total_rate_10_16","erosion_rate_10_16","ewe_rate_10_16","commodities_rate_10_16","npc_rate_10_16","settle_rate_10_16","zscore_growth","zscore_loss"
"Benin","BEN",141.111508189435,0,46.0429499113856,0,0.666666666666667,0.928571429,0.666666666666667,141.111508189435,46.0429499113856,30.6952999409237,0,0,0,0.133584415272184,0,0,0,0,0,0,8.80162652963469,0.687301497438529
"Guyana","GUY",26911.4388782346,14697.1674995074,3270.31408331989,1569.54500988921,0.285104566794708,0.735790131,0.285104566794708,12214.2713787272,1700.76907343068,484.897029898291,447.484450109259,0.546130868959005,0.479937085521728,0.00588485343476011,-0.00699765903842078,-0.00496609386015771,-0.000713595415284562,-3.52547154496407e-05,-0.00119576266641545,-1.41009913081162e-05,0.0451319283882619,-8.57380714880807
"Sao Tome and Principe","STP",0.673130919310078,0,0,0,0,0,0.668391316254463,0.673130919310078,0,0,0,0,0,0.0530755893102409,-0.000497508588031335,-0.000217309567764501,-5.02773234332489e-05,-3.09674704655398e-05,-0.000177054286404046,-2.02508244067574e-05,3.28105081469248,0.0288697189106709
