"scenario","area_2023_ha","area_2030_ha","area_2050_ha","area_2070_ha","extent_change_ha_2023_2030","extent_change_ha_2023_2050","extent_change_ha_2023_2070","area_historical_ha_1996","perc_change_2023_2030","perc_change_2023_2050","perc_historical_2030","perc_historical_2050","perc_historical_2070"
"BAU",13651960.4464066,13637503.7990858,13591330.4863876,13539714.7536592,-14456.6473208107,-60629.9600190111,-112245.692747453,14681865.0955055,-0.105894295383898,-0.444111746858816,-0.0984660138665645,-0.412958160455865,-0.76451930335346
"P",13651960.4464066,13638864.323255,13601212.3492245,13557192.7682733,-13096.1231516451,-50748.0971820969,-94767.6781333108,14681865.0955055,-0.0959285166629101,-0.371727543317447,-0.0891993153898012,-0.345651569824275,-0.645474382967337
"P2",13651960.4464066,13641150.6628532,13618007.3158266,13587240.2213552,-10809.7835533768,-33953.1305800192,-64720.2250513788,14681865.0955055,-0.0791811813095465,-0.248705163725816,-0.0736267734586798,-0.231258973973363,-0.440817461748722
"PR",13651960.4464066,13767693.7728497,14072531.882042,13981928.0658463,115733.326443043,420571.435635401,329967.619439721,14681865.0955055,0.847741442684192,3.08066696564523,0.788274008037792,2.86456409250177,2.24745028845643
"PR2",13651960.4464066,13873034.0397123,14452628.7911995,14339785.4482117,221073.593305726,800668.344792906,687825.001805088,14681865.0955055,1.61935418853279,5.86485983413213,1.5057596011654,5.45345117656757,4.68486120346965
"R",13651960.4464066,13766333.2496199,14062650.2722514,13964451.1877985,114372.803213306,410689.825844755,312490.741391843,14681865.0955055,0.837775670844478,3.00828461565646,0.779007315959595,2.79725922539963,2.12841310936378
"R2",13651960.4464066,13869387.185292,14426035.5801081,14292339.7554046,217426.73888538,774075.133701468,640379.308998041,14681865.0955055,1.59264114292545,5.67006575165705,1.4809204244217,5.27232152499776,4.36170271850597
