"country","years","rest_ha_yr","scenario"
"Qatar",47,0.935504857438701,"PR2"
"Saint-Martin",47,0.101144802722164,"PR2"
"Saint Kitts and Nevis",47,0.0504276727103534,"PR2"
"Saint Lucia",47,0.0320607240906073,"PR2"
"Saint Vincent",47,0.0209810424475442,"PR2"
"Samoa",47,0.0229883314536567,"PR2"
"Sao Tome and Principe",47,3.54939831663466e-05,"PR2"
"Saudi Arabia",47,26.3895798890979,"PR2"
"Senegal",47,297.768878595355,"PR2"
"Seychelles",47,0.198726212898596,"PR2"
"Sierra Leone",47,55.6783173524088,"PR2"
"Singapore",47,0.732083476457396,"PR2"
"Solomon Islands",47,68.7437082094802,"PR2"
"Somalia",47,5.05608021712387,"PR2"
"South Africa",47,6.01768758074379,"PR2"
"Sri Lanka",47,127.522773018176,"PR2"
"Sudan",47,0.487956874483974,"PR2"
"Suriname",47,364.541827948949,"PR2"
"Taiwan",47,1.12944532087003,"PR2"
"Tanzania",47,152.24137817698,"PR2"
"Thailand",47,654.327618046258,"PR2"
"Tonga",47,1.10184247186638,"PR2"
"Trinidad and Tobago",47,17.6424322384538,"PR2"
"Turks and Caicos Islands",47,42.003453144229,"PR2"
"United Arab Emirates",47,24.9797925888943,"PR2"
"United States",47,905.202443669627,"PR2"
"Vanuatu",47,0.731439339332003,"PR2"
"Venezuela",47,485.673163733758,"PR2"
"Vietnam",47,710.555334965688,"PR2"
"Virgin Islands",47,0.140767470100931,"PR2"
"Yemen",47,0.898153490199778,"PR2"
